iter	MultiClass
0	1.020600577
1	0.9463537679
2	0.8758043414
3	0.8341588633
4	0.8004421671
5	0.7732622258
6	0.7470480355
7	0.7270292452
8	0.714428008
9	0.6972452281
10	0.6834532394
11	0.671565757
12	0.6585894584
13	0.641799202
14	0.6333646358
15	0.6226991043
16	0.6164843861
17	0.609410093
18	0.6015568388
19	0.5979176504
20	0.5917433245
21	0.5858514686
22	0.5812283013
23	0.5743085573
24	0.5662444162
25	0.5603997525
26	0.5560609286
27	0.5497281918
28	0.540051524
29	0.5335847344
30	0.5293991298
31	0.5246439479
32	0.5142650315
33	0.5112762251
34	0.5075201637
35	0.5025659604
36	0.492503593
37	0.4885509342
38	0.4816545694
39	0.4768232901
40	0.4704492876
41	0.4622742618
42	0.4589608407
43	0.4549883495
44	0.4510625651
45	0.4455327314
46	0.4384550069
47	0.4326824386
48	0.4276145682
49	0.4229898499
50	0.4197201353
51	0.4166064575
52	0.4112433601
53	0.4092864989
54	0.4062538958
55	0.4020649763
56	0.3991866904
57	0.3973640561
58	0.3931007709
59	0.3901122992
60	0.386615935
61	0.3840197777
62	0.3815441948
63	0.3771162921
64	0.3724177625
65	0.3674299758
66	0.3618594587
67	0.3585041293
68	0.3553305744
69	0.351511605
70	0.3478414475
71	0.3451522205
72	0.3423227246
73	0.339652069
74	0.3369505197
75	0.3337208915
76	0.3310216945
77	0.3284137735
78	0.3251733701
79	0.3236423425
80	0.3212620064
81	0.3193209016
82	0.3173304428
83	0.3162593066
84	0.3117022238
85	0.3092275533
86	0.3071266069
87	0.3034817617
88	0.3006038928
89	0.2995571668
90	0.2961435647
91	0.2937515028
92	0.2913216698
93	0.2908536516
94	0.286140305
95	0.2853829394
96	0.2839127702
97	0.2814666678
98	0.2789239144
99	0.2755542432
100	0.2719785516
101	0.2705290555
102	0.2680427053
103	0.2656740037
104	0.2640767391
105	0.2625010387
106	0.2602348357
107	0.2575667177
108	0.2561797661
109	0.2542465467
110	0.2515613742
111	0.2497012322
112	0.2477817039
113	0.2451811213
114	0.2435133657
115	0.2421100878
116	0.2404081655
117	0.2376627704
118	0.2362476285
119	0.2342007784
120	0.2329111733
121	0.231679707
122	0.2294114676
123	0.2279631925
124	0.2250860784
125	0.2227574768
126	0.221567596
127	0.2187802306
128	0.2167798481
129	0.2147531881
130	0.2135589604
131	0.211933532
132	0.2106743285
133	0.210123114
134	0.2090433956
135	0.2083741341
136	0.2072096647
137	0.2058865372
138	0.2040145242
139	0.2032879247
140	0.2022363331
141	0.2007743743
142	0.1995184735
143	0.1984808072
144	0.1973777311
145	0.1962140377
146	0.1944920956
147	0.1935795791
148	0.192376405
149	0.1915802573
150	0.1903645288
151	0.1896312095
152	0.1878774494
153	0.1863677844
154	0.1850953836
155	0.1840360247
156	0.1832500596
157	0.1820874986
158	0.1811206232
159	0.1796054927
160	0.1782755677
161	0.177383191
162	0.176475293
163	0.1749637921
164	0.1737075523
165	0.1723171755
166	0.1705494456
167	0.1694167584
168	0.1688398508
169	0.1677768027
170	0.1653875976
171	0.1641769165
172	0.1622676169
173	0.1612125965
174	0.1598410042
175	0.1591598104
176	0.1574405811
177	0.1562895608
178	0.1549929396
179	0.1532388914
180	0.1526655082
181	0.1516879117
182	0.150441697
183	0.1492959871
184	0.1487623669
185	0.1480854514
186	0.147431291
187	0.1467532224
188	0.1462072451
189	0.1452977035
190	0.1442008137
191	0.1427598092
192	0.141706795
193	0.1409955166
194	0.1403090066
195	0.1400575877
196	0.1390241518
197	0.1383012046
198	0.1374900967
199	0.136664333
200	0.1354773157
201	0.1349665724
202	0.1341135306
203	0.132836878
204	0.1320036342
205	0.1313222164
206	0.1308227618
207	0.130121027
208	0.1297596018
209	0.1291678286
210	0.1281867214
211	0.1274465869
212	0.1269272805
213	0.1260725513
214	0.1249867417
215	0.1249246283
216	0.1236925433
217	0.1226113566
218	0.1215035858
219	0.1208961148
220	0.1203744697
221	0.1195778557
222	0.1189492069
223	0.1180411315
224	0.1176140912
225	0.1169305477
226	0.1164574842
227	0.1157711145
228	0.1148123154
229	0.1141758523
230	0.1132837116
231	0.1126387508
232	0.1122660256
233	0.1118212047
234	0.1112437654
235	0.1102948535
236	0.1096259818
237	0.1089979349
238	0.1085639016
239	0.1074898679
240	0.1069786575
241	0.1063317246
242	0.1053872513
243	0.1049670783
244	0.1042752841
245	0.1038756096
246	0.1034353339
247	0.1029982528
248	0.1024446598
249	0.1021093226
250	0.1017484717
251	0.1008386955
252	0.1004416413
253	0.09984861403
254	0.09948222361
255	0.0991377368
256	0.09856757101
257	0.09788858733
258	0.09733579055
259	0.09680678446
260	0.09621157284
261	0.0953933598
262	0.09503646593
263	0.09473397982
264	0.09428944179
265	0.0939434028
266	0.09323310956
267	0.09294807377
268	0.09235764004
269	0.09174923855
270	0.09125034681
271	0.09071412054
272	0.09039700677
273	0.08999231721
274	0.08988811792
275	0.08944153015
276	0.08883232859
277	0.0882684221
278	0.08782928723
279	0.08728976243
280	0.08692241074
281	0.08615900528
282	0.08584309071
283	0.08563538464
284	0.08516700388
285	0.08473967041
286	0.08434383469
287	0.08404476405
288	0.08374814079
289	0.08356337945
290	0.08285136826
291	0.08263819025
292	0.08246267157
293	0.08223861036
294	0.08172691343
295	0.08149863925
296	0.08102011779
297	0.0806253172
298	0.08003003407
299	0.07956282775
